	CÓDIGO DA OCORRÊNCIA	CLASSIFICAÇÃO	TIPO DE OCORRÊNCIA	LOCALIDADE	UF	PAÍS	DIA DA OCORRÊNCIA	STATUS DA INVESTIGAÇÃO	CONTAGEM
1866	52285	INCIDENTE GRAVE	FOGO NO SOLO	SÃO JOSÉ DOS CAMPOS	SP	BRASIL	2014-08-23		1
1867	31335	ACIDENTE	FALHA DO MOTOR EM VOO	SÃO JOSÉ DOS CAMPOS	SP	BRASIL	2007-11-26	FINALIZADA	1
1868	37377	ACIDENTE	COLISÃO COM OBSTÁCULO NO SOLO	SÃO JOSÉ DOS CAMPOS	SP	BRASIL	2009-04-18	ATIVA	1
1869	50234	ACIDENTE	PERDA DE CONTROLE NO SOLO	SÃO JOSÉ DOS CAMPOS	SP	BRASIL	2013-12-20		1
1870	33315	ACIDENTE	POUSO ANTES DA PISTA	SÃO JOSÉ DOS CAMPOS	SP	BRASIL	2008-07-15	FINALIZADA	1
1871	34435	ACIDENTE	POUSO SEM TREM	SÃO JOSÉ DOS CAMPOS	SP	BRASIL	2008-10-15	ATIVA	1
1872	52948	INCIDENTE GRAVE	PERDA DE CONTROLE EM VOO	SÃO JOSÉ DOS CAMPOS	SP	BRASIL	2014-12-26	ATIVA	1
1873	44749	ACIDENTE	PERDA DE CONTROLE EM VOO	SÃO JOSÉ DOS CAMPOS	SP	BRASIL	2007-03-15	FINALIZADA	1
1874	32018	INCIDENTE GRAVE	OUTROS TIPOS	SÃO JOSÉ DOS CAMPOS	SP	BRASIL	2008-03-26	ATIVA	1
1875	34856	ACIDENTE	POUSO BRUSCO	SÃO MANUEL	SP	BRASIL	2008-12-18	ATIVA	1
1876	49194	ACIDENTE	FALHA DO MOTOR EM VOO	SÃO PAULO	SP	BRASIL	2013-07-31	FINALIZADA	1
1877	27671	INCIDENTE GRAVE	PERDA DE COMPONENTE EM VOO	SÃO PAULO	SP	BRASIL	2006-08-08	ATIVA	1
1878	46570	ACIDENTE	POUSO LONGO	SÃO PAULO	SP	BRASIL	2012-11-11	FINALIZADA	1
1879	50093	INCIDENTE GRAVE	PANE SECA	SÃO PAULO	SP	BRASIL	2013-10-11	ATIVA	1
1880	33077	ACIDENTE	PERDA DE CONTROLE EM VOO	SÃO PAULO	SP	BRASIL	2008-07-01	FINALIZADA	1
1881	46734	ACIDENTE	FALHA DO MOTOR EM VOO	SÃO PAULO	SP	BRASIL	2012-12-16	FINALIZADA	1
1882	45857	ACIDENTE	PERDA DE CONTROLE EM VOO	SÃO PAULO	SP	BRASIL	2012-05-18	ATIVA	1
1883	40069	ACIDENTE	PERDA DE CONTROLE NO SOLO	SÃO PAULO	SP	BRASIL	2010-01-10	FINALIZADA	1
1884	42757	INCIDENTE GRAVE	COM TREM DE POUSO	SÃO PAULO	SP	BRASIL	2010-09-13	FINALIZADA	1
1885	26259	INCIDENTE GRAVE	FOGO EM VOO	SÃO PAULO	SP	BRASIL	2006-01-20	FINALIZADA	1
1886	41411	INCIDENTE GRAVE	PERDA DE CONTROLE NO SOLO	SÃO PAULO	SP	BRASIL	2010-06-08	FINALIZADA	1
1887	46305	ACIDENTE	INDETERMINADA	SÃO PAULO	SP	BRASIL	2012-07-11	ATIVA	1
1888	30636	ACIDENTE	PERDA DE CONTROLE EM VOO	SÃO PAULO	SP	BRASIL	2007-09-21	FINALIZADA	1
1889	42738	ACIDENTE	COLISÃO COM OBSTÁCULO NO SOLO	SÃO PAULO	SP	BRASIL	2010-09-04	FINALIZADA	1
1890	43459	INCIDENTE GRAVE	PERDA DE CONTROLE NO SOLO	SÃO PAULO	SP	BRASIL	2010-10-28	FINALIZADA	1
1891	45900	ACIDENTE	COLISÃO EM VOO COM OBSTÁCULO	SÃO PAULO	SP	BRASIL	2012-06-02	FINALIZADA	1
1892	25799	ACIDENTE	COLISÃO EM VOO COM OBSTÁCULO	SÃO PAULO	SP	BRASIL	2006-01-02	ATIVA	1
1893	42980	ACIDENTE	COM TREM DE POUSO	SÃO PAULO	SP	BRASIL	2010-10-01	ATIVA	1
1894	38419	INCIDENTE GRAVE	COLISÃO COM AERONAVE NO SOLO	SÃO PAULO	SP	BRASIL	2009-08-26	FINALIZADA	1
1895	52779	INCIDENTE GRAVE	PERDA DE CONTROLE NO SOLO	SÃO PAULO	SP	BRASIL	2014-11-30	ATIVA	1
1896	29860	ACIDENTE	PERDA DE CONTROLE NO SOLO	SÃO PAULO	SP	BRASIL	2007-07-16	FINALIZADA	1
1897	39992	ACIDENTE	SAÍDA DE PISTA	SÃO PAULO	SP	BRASIL	2010-02-17	FINALIZADA	1
1898	52840	INCIDENTE GRAVE	PERDA DE CONTROLE NO SOLO	SÃO PAULO	SP	BRASIL	2014-12-07	ATIVA	1
1899	26719	ACIDENTE	FALHA DO MOTOR EM VOO	SÃO PAULO	SP	BRASIL	2006-04-27	FINALIZADA	1
1900	29859	ACIDENTE	PERDA DE CONTROLE NO SOLO	SÃO PAULO	SP	BRASIL	2007-07-17	FINALIZADA	1
1901	34079	ACIDENTE	FALHA DO MOTOR NO SOLO	SÃO PAULO	SP	BRASIL	2008-09-03	FINALIZADA	1
1902	26562	INCIDENTE GRAVE	PERDA DE CONTROLE NO SOLO	SÃO PAULO	SP	BRASIL	2006-03-22	FINALIZADA	1
1903	27953	ACIDENTE	PERDA DE CONTROLE EM VOO	SÃO PAULO	SP	BRASIL	2006-10-22	FINALIZADA	1
1904	51417	INCIDENTE GRAVE	COLISÃO COM OBSTÁCULO NO SOLO	SÃO PAULO	SP	BRASIL	2014-05-08	ATIVA	1
